step	loss
49	0.972001314163208
99	0.2403412163257599
149	0.28483498096466064
199	0.11207546293735504
249	0.0445135161280632
299	0.2463143914937973
349	0.06152923405170441
399	0.203695148229599
449	0.030215417966246605
499	0.041256796568632126
549	0.03320745751261711
599	0.019136453047394753
649	0.00824823323637247
699	0.08467075228691101
749	0.007687889970839024
799	0.0505349300801754
849	0.03119637817144394
899	0.007795557379722595
949	0.0028703613206744194
999	0.0010358503786846995
1049	0.00021717388881370425
1099	0.00021141045726835728
1149	0.00016198970843106508
1199	7.605919381603599e-05
1249	0.00012046401388943195
1299	0.0001281367294723168
1349	8.719397010281682e-05
1399	0.0020368683617562056
1449	1.999056985368952e-05
1499	2.955445961561054e-05
1549	3.2939191441982985e-05
1599	0.0001692567893769592
1649	7.24380515748635e-05
1699	0.00029439866193570197
1749	4.474480010685511e-05
1799	0.00037798521225340664
1849	5.902659904677421e-05
1899	1.6214549759752117e-05
1949	3.269210719736293e-05
1999	2.809559191518929e-05
